movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1478901,热辣滚烫,2024-02-10,346055,48.035583,22,9.2,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1478901
1495728,飞驰人生2,2024-02-10,339865,48.0397,19,9.5,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1495728
1516983,抓娃娃,2024-07-16,332752,41.382668,14,9.4,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1516983
1489349,第二十条,2024-02-10,245473,46.338207,16,9.5,"喜剧,剧情,家庭",中国大陆,https://piaofang.maoyan.com/movie/1489349
1500234,熊出没·逆转时空,2024-02-10,200667,46.0126,22,9.4,"动画,喜剧,科幻",中国大陆,https://piaofang.maoyan.com/movie/1500234
1528124,默杀,2024-07-03,135129,41.193733,10,9.2,"犯罪,悬疑,剧情",中国大陆,https://piaofang.maoyan.com/movie/1528124
1491310,志愿军：存亡之战,2024-09-30,120472,41.349854,10,9.7,"剧情,战争",中国大陆,https://piaofang.maoyan.com/movie/1491310
1458876,年会不能停！,2023-12-29,106108,39.159836,7,9.6,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1458876
1470629,哥斯拉大战金刚2：帝国崛起,2024-03-29,95693,42.801792,7,9.3,"动作,冒险,科幻",美国,https://piaofang.maoyan.com/movie/1470629
1198578,你想活出怎样的人生,2024-04-03,79116,38.8863,7,8.5,"剧情,奇幻,动画",日本,https://piaofang.maoyan.com/movie/1198578
1464004,异形：夺命舰,2024-08-16,78636,40.556637,7,8.7,"科幻,惊悚",美国,https://piaofang.maoyan.com/movie/1464004
1446323,末路狂花钱,2024-05-01,78180,40.081097,7,8.7,"喜剧,剧情",中国大陆,https://piaofang.maoyan.com/movie/1446323
78645,九龙城寨之围城,2024-05-01,68500,41.041557,7,9.3,"动作,犯罪","中国大陆,中国香港",https://piaofang.maoyan.com/movie/78645
1448719,毒液：最后一舞,2024-10-23,68110,41.329105,6,8.7,"动作,科幻,惊悚",美国,https://piaofang.maoyan.com/movie/1448719
1488960,周处除三害,2024-03-01,66573,39.486576,7,9.3,"动作,犯罪,悬疑",中国台湾,https://piaofang.maoyan.com/movie/1488960
1491059,好东西,2024-11-22,57417,42.177418,6,9.3,"剧情,爱情",中国大陆,https://piaofang.maoyan.com/movie/1491059
1413549,维和防暴队,2024-05-01,51172,41.85894,8,8.6,"动作,剧情",中国大陆,https://piaofang.maoyan.com/movie/1413549
1371016,云边有个小卖部,2024-06-22,49868,40.519386,6,8.5,剧情,中国大陆,https://piaofang.maoyan.com/movie/1371016
1501625,重生,2024-08-16,46465,41.60608,6,9.1,犯罪,中国大陆,https://piaofang.maoyan.com/movie/1501625
1350281,浴火之路,2024-10-01,46194,39.478077,8,9.0,"剧情,犯罪",中国大陆,https://piaofang.maoyan.com/movie/1350281
1200478,死侍与金刚狼,2024-07-26,43068,43.386883,9,8.9,科幻,美国,https://piaofang.maoyan.com/movie/1200478
1501191,白蛇：浮生,2024-08-10,42520,41.332317,7,9.2,"动画,喜剧,爱情",中国大陆,https://piaofang.maoyan.com/movie/1501191
1219664,神偷奶爸4,2024-07-12,42398,39.67343,8,8.8,"喜剧,动作,动画",美国,https://piaofang.maoyan.com/movie/1219664
1331905,金手指,2023-12-30,41783,40.185917,6,9.1,"剧情,犯罪","中国大陆,中国香港",https://piaofang.maoyan.com/movie/1331905
346109,749局,2024-10-01,37572,41.15991,11,8.0,"科幻,冒险,动作,青春",中国大陆,https://piaofang.maoyan.com/movie/346109
475180,功夫熊猫4,2024-03-22,37372,40.587997,6,8.5,"动画,动作,冒险",美国,https://piaofang.maoyan.com/movie/475180
1516902,逆行人生,2024-08-09,35927,41.66608,7,9.0,剧情,中国大陆,https://piaofang.maoyan.com/movie/1516902
1441786,沙丘2,2024-03-08,35263,47.82433,7,8.9,"科幻,动作,冒险,剧情","美国,加拿大",https://piaofang.maoyan.com/movie/1441786
1479534,头脑特工队2,2024-06-21,34444,40.961765,6,9.2,动画,美国,https://piaofang.maoyan.com/movie/1479534
1228248,解密,2024-08-03,33461,42.142056,8,9.1,"谍战,奇幻,家庭,历史",中国大陆,https://piaofang.maoyan.com/movie/1228248
